ID,Name
1625,"Mocenigo, Andrea"
2156,
3467,"Venezia, Benedettini, S. Georgius Maior, OSB"
00017138,Regno Italico. Decreto 28 luglio 1806
1408,"Padova, Benedettine, S. Anna, OSB"
00021806,"Padova, Convento di San Francesco Grande, OFM"
3765,Biblioteca Universitaria <Padova>
3467,"Venezia, Benedettini, S. Georgius Maior, OSB"
00015143,"Paris, Bibliothèque nationale de France, BnF"
3479,"Venezia, Biblioteca Nazionale Marciana"
4085,"Padova, Benedettini, S. Justina, OSB"
3483,"Venezia, Domenicani, S. Maria Rosarii, OP"
3479,"Venezia, Biblioteca Nazionale Marciana"
1904,Antonio <da Venezia>
4240,Sebastiano d'Ayala
00010583,"Margaritis, Domenico"
2832,"Milano, Biblioteca Nazionale Braidense"
00023820,"Ciccolus, Flavius"
00016901,"Anonymous, Italy"
00017969,Anonymous
00016355,"Roma, Biblioteca Casanatense"
1408,"Padova, Benedettine, S. Anna, OSB"
00022791,"Anonymous, Italy"
901,"Piacenza, Benedettini, San Sisto, OSB"
00016768,Mauritius Bergomensis OSB
00010056,"Brescia, Biblioteca Queriniana"
3601,"Cazzamini Mussi, Francesco"
1471,"Milano, Biblioteca Trivulziana"
4073,"Stibbs, Edward William"
3463,Cambridge University Library
2699,"Tennant, Enriqueta Augustina "
00016201,"Manchester, John Rylands University Library"
1861,"Spinelli, Faustino <da Venezia>"
00020986,Regno Italico Milan 4 Sept. 1806
1875,M. P.
694,"Polirone (Mantova), Abbazia, S. Benedictus, OSB"
00011037,"Mantova, Biblioteca comunale Teresiana"
2590,Pico Master
00013191,"Loménie de Brienne, Étienne Charles"
00014395,"Spencer, George John, 2nd Earl Spencer"
00024367,"Chantilly, Musée Condé"
1645,"Asteo, Girolamo, OFMConv"
00021323,"Accursius, Bonus"
4204,"Bradel, Alexis-Pierre"
4209,"Oxford, Bodleian library"
00010351,"Anonymous, Italy"
00010413,"Anonymous, Italy"
1639,"Arrigoni, Gabriele <da Milano>"
3549,"Murano, Camaldolesi, S. Michael, OSBCam"
1638,"Molin, Marco"
00036743,"Lutcher Stark, Miriam"
00016113,"Austin, University of Texas, Harry Ransom Humanities Research Center"
0011046,Legatoria Conti Borbone
3331,"Rattey, Clifford C."
00015680,"Rattey, Hope"
3442,"London, British Museum Library, since 1973 The British Library"
00016568,"Wandstad, N."
00016569,"Francus de Frankenau, Georgius"
00015181,"Thott, Otto"
00015179,"Copenhagen, Det Kongelige Bibliotek"
901,"Piacenza, Benedettini, S. Sisto, OSB"
00015557,"Ragusa, Domenicani, S. Domenico OP"
43,"Lechi, Luigi"
00021391,"Anonymous illuminator, Florence"
00016518,"Acquaviva D'Aragona, Andrea Matteo"
00010673,"Anonymous, Italy"
00016540,"Miliarius, Leonardus"
00018017,"Arezzo, Monastero delle Sante Flora e Lucilla, OSB"
00018018,"Scarmalli, Gabriele Maria, OSB"
00017097,"Anonymous, Italy"
2325,"De Marinis, Tammaro"
138,"Venezia, Fondazione Giorgio Cini"
00011615,"Bruce, John Wyndham"
00010187,"Monson, William John, 6th Baron"
2381,Sotheby
00017050,"Bologna, Benedettini, S. Proculus, OSB"
4453,"Berlin, Preussische Staatsbibliothek"
00015896,"Paris, Bibliothèque interuniversitaire de santé (Pharmacie) "
00016832,"Edinburgh, University Library"
2640,"Amati, Giacinto"
00023301,"Milano, Biblioteca dei Servi"
00016834,"Uppsala, University Library"
4603,Herzogliche Bibliothek Gotha
00016835,"Lunzer, Jack, Valmadonna Collection"
00016836,"Jerusalem, National Library of Israel"
00014566,"Thorpe, Thomas"
4209,"Oxford, Bodleian library"
00012294,"Finch, Robert"
3445,"Oxford, Taylor Institution"
3281,"London, McLeish and Sons"
819,"Alvarotti, Alfonso"
2734,"Padova, Seminario vescovile"
3042,"Boston, Massachusetts, King's Chapel"
3523,Harvard College Library
4751,"Cesena, Benedettini, S. Maria Montis, OSB"
00029275,"Cooke, John, OSA"
00029274,"Cesena, Biblioteca Comunale Malatestiana"
2334,Anonymous
00010061,"Fortunio, Giacomo"
00010062,"Valdobbiadene, Cappuccini, Locus Capuccinorum, OFMCap"
1180,"Treviso, Cappuccini, Locus Capuccinorum, OFMCap"
00010035,"Treviso, Biblioteca Capitolare"
4086,"Ballino, Giulio Cesare"
00010352,"Anonymous, Italy"
4016,"Morelli, Jacopo"
1112,"Venier, Girolamo"
00023096,"Marinus, illuminator"
3230,"Amadi, Francesco"
2678,"Cicogna, Emmanuele Antonio "
3551,"Venezia, Biblioteca del Museo Correr"
00016556,"Trieste, Jesuits, SJ"
2839,"Wien, Osterreichische  Nationalbibliothek"
00015156,Lucca Statale
2590,Pico Master
00025457,Bollani family
2839,"Wien, Osterreichische  Nationalbibliothek"
00014883,"Vienna, Österreichische Nationalbibliothek"
00013839,"Pinelli, Maffeo"
00012182,"Elmsley, Peter "
3466,"Zilotti, Giovanni Maria"
3458,"Locarno, Convento dei Frati Minori della Madonna del Sasso "
2169,"Locarno, Scuola Tecnica"
00028245,"Locarno, Cappuccini, Convento della Madonna del Sasso, OFMCap"
3765,"Padova, Biblioteca Universitaria"
00016952,"Bordon, Benedetto"
1409,"Cosma, Giovanni"
1677,"San Paolo d'Argon (Bergamo), Benedettini, SS. Paulus et Petrus, OSB"
2141,"Bergamo, Biblioteca Civica Angelo Mai"
